code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
GAZP,2024,12,Q,МСФО,1000000,RUB,925945,541841,-744385,,,709096,-161373,89096,,343253,295295,216849,,,61874,,
GAZP,2024,12,Q,РСБУ,1000,RUB,151656234,,417537401,,58302219,58302219,-874453783,,,-554243175,311788382,93354015,,,,,
GAZP,2024,12,Y,МСФО,1000000,RUB,2495688,1377774,-2253556,,,2353789,-694682,223576,,1011658,1127832,141899,,,196922,,
GAZP,2024,12,Y,РСБУ,1000,RUB,178913208,896842299,-240281517,,165723421,165723421,-1804316,6130101,,945910517,927665757,13189787,,,,,
GAZP,2025,3,Q,МСФО,1000000,RUB,945624,352420,-764383,,,690245,-231729,126,,260622,347700,255379,273000,,90325,,
GAZP,2025,3,Q,РСБУ,1000,RUB,589253130,227806796,-425217232,,30992618,30992618,146845604,,,449556507,296686208,558260512,,,,,
GAZP,2025,6,6M,МСФО,1000000,RUB,1430001,710276,-1506743,,,1194700,-324089,2982,,589499,617842,235301,281000,-454626,101589,176689,
GAZP,2025,6,6M,РСБУ,1000,RUB,635396046,456584112,-844217942,,64483945,64483945,262256243,2392000,,719625062,447720212,570912101,,,,,
GAZP,2025,6,Q,МСФО,1000000,RUB,484377,357856,-742360,,,504455,-92360,2856,,328877,270142,-20078,8000,,11264,,
GAZP,2025,6,Q,РСБУ,1000,RUB,46142916,228777316,-419000710,,33491327,33491327,115410639,,,270068555,151034004,12651589,,,,,
GAZP,2025,9,9M,МСФО,1000000,RUB,1990418,1075645,-2160105,,,1725508,-108566,9012,,1082402,770947,264910,,-316272,121588,225918,
GAZP,2025,9,9M,РСБУ,1000,RUB,402875928,685454335,-803949694,,,103994678,497274110,4092000,,1089745927,578675185,298881250,,96200344,,12845950,
GAZP,2025,9,Q,МСФО,1000000,RUB,560417,365369,-653362,,,530808,215523,6030,,492903,153105,29609,,138354,19999,49229,
GAZP,2025,9,Q,РСБУ,1000,RUB,-232520118,228870223,40268248,,,39510733,235017867,1700000,,370120865,130954973,-272030851,,,,,
GAZP,2025,9,YTM,МСФО,1000000,RUB,2916363,1617486,-2904490,,,2434604,-269939,98108,,1425655,1066242,481759,,,183462,,
GAZP,2025,12,6M,РСБУ,1000,RUB,249046653,460337897,-116231126,,,89992095,-18172185,5020000,,429767856,438423706,159054558,,,,,
GAZP,2025,12,Q,РСБУ,1000,RUB,481566771,231467674,-156499374,,,50481362,-253190052,3320000,,59646991,307468733,431085409,,71877345,,-9154756,
GAZP,2025,12,Y,РСБУ,1000,RUB,884442699,916922009,-960449068,,,154476040,244084058,7412000,,1149392918,886143918,729966659,,168077689,,3691194,
GAZP,2025,12,YTM,РСБУ,1000,RUB,884442699,916922009,-960449068,,,154476040,244084058,7412000,,1149392918,886143918,729966659,,168077689,,3691194,
